year;district;indicator;number of people;average income
2019;Centrum;total-earned-and-capital-income_men;19743;383423
2019;Centrum;total-earned-and-capital-income_women;19720;302016
2019;Centrum;total-earned-and-capital-income_all;39463;342743
2019;Södra Innerstaden;total-earned-and-capital-income_men;13724;248544
2019;Södra Innerstaden;total-earned-and-capital-income_women;13312;222882
2019;Södra Innerstaden;total-earned-and-capital-income_all;27036;235909
2019;Västra Innerstaden;total-earned-and-capital-income_men;10537;422475
2019;Västra Innerstaden;total-earned-and-capital-income_women;11821;352810
2019;Västra Innerstaden;total-earned-and-capital-income_all;22358;385642
2019;Limhamn-Bunkeflo;total-earned-and-capital-income_men;14253;520212
2019;Limhamn-Bunkeflo;total-earned-and-capital-income_women;14794;378399
2019;Limhamn-Bunkeflo;total-earned-and-capital-income_all;29047;447985
2019;Hyllie;total-earned-and-capital-income_men;10679;283389
2019;Hyllie;total-earned-and-capital-income_women;10753;234530
2019;Hyllie;total-earned-and-capital-income_all;21432;258875
2019;Fosie;total-earned-and-capital-income_men;14436;225190
2019;Fosie;total-earned-and-capital-income_women;13180;191338
2019;Fosie;total-earned-and-capital-income_all;27616;209034
2019;Oxie;total-earned-and-capital-income_men;3854;327159
2019;Oxie;total-earned-and-capital-income_women;3721;271695
2019;Oxie;total-earned-and-capital-income_all;7575;299914
2019;Rosengård;total-earned-and-capital-income_men;6811;180874
2019;Rosengård;total-earned-and-capital-income_women;6440;140253
2019;Rosengård;total-earned-and-capital-income_all;13251;161132
2019;Husie;total-earned-and-capital-income_men;6510;381263
2019;Husie;total-earned-and-capital-income_women;6527;316488
2019;Husie;total-earned-and-capital-income_all;13037;348833
2019;Kirseberg;total-earned-and-capital-income_men;5415;288162
2019;Kirseberg;total-earned-and-capital-income_women;4890;252668
2019;Kirseberg;total-earned-and-capital-income_all;10305;271319
2018;Centrum;total-earned-and-capital-income_men;19351;385235
2018;Centrum;total-earned-and-capital-income_women;19392;295374
2018;Centrum;total-earned-and-capital-income_all;38743;340257
2018;Södra Innerstaden;total-earned-and-capital-income_men;13586;239888
2018;Södra Innerstaden;total-earned-and-capital-income_women;13361;217182
2018;Södra Innerstaden;total-earned-and-capital-income_all;26947;228630
2018;Västra Innerstaden;total-earned-and-capital-income_men;10528;419715
2018;Västra Innerstaden;total-earned-and-capital-income_women;11732;333850
2018;Västra Innerstaden;total-earned-and-capital-income_all;22260;374460
2018;Limhamn-Bunkeflo;total-earned-and-capital-income_men;13695;505315
2018;Limhamn-Bunkeflo;total-earned-and-capital-income_women;14229;373219
2018;Limhamn-Bunkeflo;total-earned-and-capital-income_all;27924;438004
2018;Hyllie;total-earned-and-capital-income_men;10277;276365
2018;Hyllie;total-earned-and-capital-income_women;10360;228339
2018;Hyllie;total-earned-and-capital-income_all;20637;252255
2018;Fosie;total-earned-and-capital-income_men;14334;217144
2018;Fosie;total-earned-and-capital-income_women;13228;185769
2018;Fosie;total-earned-and-capital-income_all;27562;202086
2018;Oxie;total-earned-and-capital-income_men;3815;325196
2018;Oxie;total-earned-and-capital-income_women;3736;267316
2018;Oxie;total-earned-and-capital-income_all;7551;296559
2018;Rosengård;total-earned-and-capital-income_men;6888;171488
2018;Rosengård;total-earned-and-capital-income_women;6580;134954
2018;Rosengård;total-earned-and-capital-income_all;13468;153639
2018;Husie;total-earned-and-capital-income_men;6263;378380
2018;Husie;total-earned-and-capital-income_women;6349;307911
2018;Husie;total-earned-and-capital-income_all;12612;342905
2018;Kirseberg;total-earned-and-capital-income_men;5599;286562
2018;Kirseberg;total-earned-and-capital-income_women;5010;242324
2018;Kirseberg;total-earned-and-capital-income_all;10609;265671
